iter	Passed	Remaining
777	42259	12058
778	42326	12007
779	42392	11956
780	42444	11901
781	42499	11847
782	42555	11793
783	42607	11738
784	42662	11684
785	42722	11631
786	42777	11577
787	42833	11523
788	42886	11468
789	42940	11414
790	42995	11360
791	43049	11305
792	43103	11251
793	43153	11195
794	43209	11142
795	43261	11087
796	43317	11033
797	43373	10979
798	43434	10926
799	43485	10871
800	43537	10816
801	43596	10763
802	43653	10709
803	43707	10654
804	43765	10601
805	43822	10547
806	43872	10492
807	43927	10438
808	43981	10383
809	44032	10328
810	44081	10273
811	44135	10218
812	44189	10164
813	44241	10109
814	44295	10054
815	44348	10000
816	44402	9945
817	44460	9892
818	44514	9837
819	44572	9784
820	44626	9729
821	44688	9677
822	44741	9622
823	44797	9568
824	44857	9515
825	44916	9461
826	44967	9406
827	45022	9352
828	45113	9305
829	45194	9256
830	45264	9205
831	45328	9152
832	45389	9099
833	45440	9044
834	45490	8989
835	45541	8934
836	45594	8879
837	45646	8824
838	45701	8769
839	45748	8714
840	45797	8658
841	45856	8604
842	45925	8553
843	45990	8500
844	46070	8450
845	46124	8396
846	46175	8340
847	46230	8286
848	46275	8230
849	46323	8174
850	46373	8119
851	46426	8064
852	46476	8009
853	46521	7953
854	46569	7897
855	46622	7843
856	46668	7787
857	46715	7731
858	46762	7675
859	46809	7620
860	46864	7565
861	46909	7509
862	46955	7454
863	47002	7398
864	47048	7342
865	47099	7287
866	47148	7232
867	47195	7177
868	47249	7122
869	47306	7068
870	47367	7015
871	47419	6960
872	47476	6906
873	47528	6851
874	47580	6797
875	47634	6742
876	47686	6688
877	47737	6633
878	47797	6579
879	47842	6524
880	47889	6468
881	47948	6414
882	48005	6360
883	48060	6306
884	48118	6252
885	48170	6198
886	48219	6142
887	48273	6088
888	48319	6033
889	48371	5978
890	48423	5923
891	48475	5869
892	48532	5815
893	48588	5761
894	48642	5706
895	48687	5651
896	48743	5597
897	48789	5541
898	48842	5487
899	48887	5431
900	48937	5377
901	48987	5322
902	49036	5267
903	49093	5213
904	49148	5159
905	49203	5104
906	49253	5050
907	49305	4995
908	49359	4941
909	49411	4886
910	49461	4832
911	49529	4779
912	49598	4726
913	49652	4671
914	49706	4617
915	49758	4562
916	49809	4508
917	49862	4453
918	49911	4399
919	49960	4344
920	50018	4290
921	50089	4237
922	50161	4184
923	50235	4131
924	50298	4078
925	50365	4024
926	50423	3970
927	50490	3917
928	50562	3864
929	50625	3810
930	50692	3757
931	50758	3703
932	50819	3649
933	50884	3595
934	50957	3542
935	51016	3488
936	51078	3434
937	51155	3381
938	51225	3327
939	51288	3273
940	51352	3219
941	51413	3165
942	51473	3111
943	51534	3057
944	51593	3002
945	51663	2949
946	51742	2895
947	51834	2843
948	51917	2790
949	51981	2735
950	52049	2681
951	52114	2627
952	52176	2573
953	52247	2519
954	52312	2464
955	52380	2410
956	52450	2356
957	52519	2302
958	52584	2248
959	52652	2193
960	52711	2139
961	52771	2084
962	52835	2030
963	52899	1975
964	52959	1920
965	53029	1866
966	53093	1811
967	53159	1757
968	53222	1702
969	53286	1648
970	53355	1593
971	53426	1539
972	53489	1484
973	53559	1429
